@RELATION smartgrid
@ATTRIBUTE powerusage  NUMERIC
@ATTRIBUTE batterry  NUMERIC
@ATTRIBUTE temp   NUMERIC
@ATTRIBUTE humidity   {High,Medium,Low}
@ATTRIBUTE poweroff   {yes,no}
@DATA
35,190,27,High,yes
40,175,28,High,yes
50,140,27,High,yes
35,188,30,High,no
30,177,33,Medium,no
32,95,35,Low,no
30,74,36,Low,no
33,75,27,High,yes
32,88,32,Medium,no
34,122,33,Medium,no
40,55,37,Low,yes
42,155,30,Medium,no
43,45,31,Medium,yes
44,82,32,Medium,yes
42,112,35,Low,no
35,44,34,Medium,yes
37,125,36,Low,no
38,119,33,Medium,no
44,177,32,Medium,no
45,147,32,Medium,no
20,45,31,Medium,no
21,54,35,Low,no
23,62,31,Medium,no
31,49,31,Medium,no
34,48,32,Medium,no
45,79,34,Medium,no
32,98,33,Medium,no
31,100,36,Low,no
23,110,32,Medium,no
24,124,30,Medium,no
25,156,29,High,yes
29,167,30,Medium,no
36,176,28,High,yes
43,145,27,High,yes
45,123,30,Medium,no
46,48,31,Medium,yes
41,98,29,High,yes
33,95,28,High,yes
23,87,27,High,yes
21,83,31,Medium,no
45,70,30,Medium,yes
48,93,31,Medium,yes
48,156,32,Medium,no
32,159,33,Medium,no
31,178,34,Medium,no
43,198,35,Low,no
50,147,34,Medium,no
46,135,33,Medium,no
49,133,32,Medium,no
37,178,32,Medium,no
35,156,31,Medium,no
41,143,30,Medium,no
43,156,30,Medium,no
42,178,29,High,yes
45,154,28,High,yes
49,143,27,High,yes
48,128,30,Medium,no
50,176,31,Medium,no
38,156,32,Medium,no
37,134,31,Medium,no
39,120,33,Medium,no
35,198,34,Medium,no
32,189,33,Medium,no
34,195,32,Medium,no
31,154,31,Medium,no
29,176,30,Medium,no
43,149,29,High,yes
48,142,28,High,yes
32,176,28,High,yes
31,189,29,High,yes
24,165,31,Medium,no
26,145,30,Medium,no
27,182,32,Medium,no
25,145,30,Medium,no
35,156,31,Medium,no
46,198,32,Medium,no
49,193,30,Medium,no
34,186,31,Medium,no
32,183,32,Medium,no
21,145,34,Medium,no
